#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
.DJI,01-DEC-1999,,End Of Day,,10876.47,11000.83,10859.65,10998.39,,,,Verified
.DJI,02-DEC-1999,,End Of Day,,10995.02,11070.72,10988.6,11039.07,132556500,,,Verified
.DJI,03-DEC-1999,,End Of Day,,11046.1,11341.23,11045.79,11286.18,,,,Verified
.DJI,05-DEC-1999,,End Of Day,No Trades,,,,,,,,Verified
.DJI,06-DEC-1999,,End Of Day,,11286.79,11297.8,11193.51,11225.02,134762000,,,Verified
.DJI,07-DEC-1999,,End Of Day,,11221.65,11253.45,11106.65,11106.66,169039400,,,Verified
.DJI,08-DEC-1999,,End Of Day,,11107.26,11171.79,11068.12,11068.12,,,,Verified
.DJI,09-DEC-1999,,End Of Day,,11073.62,11204.21,11054.66,11134.79,,,,Verified
.DJI,12-DEC-1999,,End Of Day,No Trades,,,,,,,,Verified
.DJI,13-DEC-1999,,End Of Day,,11217.46,11250.39,11162.31,11192.6,149859000,,,Verified
.DJI,16-DEC-1999,,End Of Day,,11224.4,11244.89,11124.39,11244.89,,,,Verified
.DJI,20-DEC-1999,,End Of Day,,11254.5,11310.03,11110.93,11144.28,131093200,,,Verified
.DJI,31-DEC-1999,,End Of Day,,11453.48,11542.41,11442.82,11497.12,,,,Verified